,Trial Number,Stations Used,Number of Stations Used,Number of CPUs Allocated for Ray to Use,Number of Stations Running Predictions Concurrently,Intra-parallelism Threads,Inter-parallelism Threads,Total Run time for Picker (s),Trial Success,Error Message
0,1.0,['MID01'],1,1,1,1.0,1.0,3.843878,1.0,
3,4.0,['WB12'],1,2,1,1.0,1.0,3.762218,1.0,
6,7.0,['WB11'],1,3,1,1.0,1.0,3.727292,1.0,
9,10.0,['MB19'],1,4,1,1.0,1.0,3.72261,1.0,
12,13.0,['HNDO'],1,5,1,1.0,1.0,3.729845,1.0,
2,3.0,"['PB17', 'MB09']",2,1,2,1.0,1.0,5.886492,1.0,
5,6.0,"['BB01', 'MB19']",2,2,2,1.0,1.0,3.987708,1.0,
8,9.0,"['MB21', 'MID02']",2,3,2,1.0,1.0,3.868931,1.0,
11,12.0,"['EF02', 'PB11']",2,4,2,1.0,1.0,3.867608,1.0,
14,15.0,"['PB16', 'PB18']",2,5,2,1.0,1.0,3.855849,1.0,
